edad,promedio_notas,horas_estudio_semana,participacion_actividades,asistencia_clases
27,2.43,12,Alta,82.09
20,4.41,37,Media,82.41
20,4.58,21,Alta,92.07
23,2.97,23,Media,85.51
22,1.89,35,Media,64.55
18,2.15,23,Media,71.53
26,1.19,21,Media,78.59
25,3.83,22,Alta,92.97
21,3.38,23,Media,93.45
19,2.48,7,Alta,79.19
18,3.38,20,Baja,83.14
21,1.76,25,Media,90.68
25,2.55,14,Baja,78.59
18,3.74,33,Baja,71.42
20,3.33,39,Alta,76.31
27,2.06,17,Media,92.18
20,3.46,21,Media,93.6
23,3.54,21,Baja,83.51
18,1.78,25,Media,79.28
18,2.92,15,Baja,91.83
20,4.31,9,Media,92.75
28,1.54,29,Media,86.76
19,1.51,39,Baja,75.3
24,0.55,7,Media,79.61
26,3.24,27,Alta,88.55
29,3.87,22,Media,66.81
24,2.41,13,Media,75.0
26,3.78,37,Baja,78.19
18,2.38,12,Alta,86.07
28,4.61,39,Alta,65.17
20,4.17,22,Alta,100.0
22,3.7,16,Alta,97.55
27,3.12,29,Alta,74.74
24,3.86,38,Media,81.68
25,3.47,23,Alta,77.72
22,3.74,31,Alta,69.61
21,2.41,20,Alta,100.0
28,1.73,35,Media,96.39
27,1.67,19,Media,95.01
22,1.89,13,Baja,94.48
20,2.57,11,Alta,94.16
20,2.74,17,Media,81.3
20,3.29,39,Media,89.57
28,2.38,38,Alta,58.64
29,3.36,14,Media,81.18
20,1.89,6,Alta,90.68
20,2.32,39,Alta,83.55
27,3.02,20,Media,77.77
28,3.0,35,Baja,96.89
26,2.99,37,Alta,78.57
26,2.07,7,Baja,89.9
19,3.54,6,Baja,84.33
28,2.1,27,Alta,93.73
21,1.95,5,Media,99.04
22,3.56,28,Media,89.8
21,2.49,38,Media,92.59
25,3.34,11,Media,72.88
28,3.44,24,Baja,71.43
19,4.04,39,Baja,86.25
23,2.36,6,Alta,87.39
18,3.5,30,Baja,90.32
28,4.54,21,Baja,88.89
29,3.46,19,Media,75.05
22,1.63,16,Baja,77.38
18,2.84,12,Alta,100.0
29,2.09,17,Alta,89.15
19,3.8,19,Alta,85.35
24,2.64,13,Media,97.84
28,2.93,20,Alta,100.0
27,1.32,27,Alta,95.5
18,2.38,25,Baja,75.94
28,3.33,26,Media,74.68
22,2.23,39,Media,92.06
19,2.71,24,Baja,100.0
19,2.23,25,Baja,83.4
18,3.86,14,Alta,86.64
29,3.9,13,Media,84.77
21,2.12,15,Media,91.12
19,4.19,7,Baja,100.0
19,2.68,25,Alta,71.78
25,2.81,25,Alta,84.57
24,3.21,8,Alta,94.69
28,2.91,27,Media,80.63
21,2.42,36,Media,72.69
18,2.74,33,Baja,85.96
19,2.67,33,Baja,82.28
23,3.7,12,Baja,86.24
21,2.91,10,Media,86.73
29,2.33,11,Alta,75.42
25,2.14,24,Baja,67.85
19,1.89,39,Media,84.63
28,2.63,20,Alta,86.21
29,3.46,36,Alta,97.38
22,2.6,10,Baja,84.2
27,3.36,18,Alta,76.17
28,1.73,24,Media,82.63
25,2.89,25,Media,82.82
21,3.4,11,Media,70.93
19,2.92,39,Baja,84.29
25,2.77,25,Alta,81.25
25,2.38,22,Baja,100.0
26,3.49,9,Media,87.94
26,1.43,29,Media,77.13
20,2.58,37,Baja,92.91
20,3.87,24,Alta,90.66
18,2.63,5,Alta,83.75
20,2.54,9,Alta,72.22
29,2.38,24,Media,85.64
23,2.97,32,Media,67.22
20,2.51,15,Media,76.64
18,4.29,11,Baja,89.03
29,3.2,26,Alta,87.11
20,3.39,21,Media,96.88
27,2.5,31,Baja,83.52
25,3.2,17,Media,72.17
18,3.19,34,Alta,76.35
27,2.78,30,Alta,77.52
27,3.07,15,Media,94.48
27,3.0,27,Alta,91.27
29,2.55,12,Media,70.49
19,3.42,6,Media,92.44
28,2.67,32,Baja,88.95
22,2.86,38,Media,82.8
23,2.72,34,Alta,81.68
22,3.34,32,Media,99.06
18,2.48,18,Baja,92.17
28,3.12,7,Media,83.1
20,3.25,21,Baja,74.01
29,3.21,8,Alta,87.57
29,2.21,5,Media,95.31
18,4.62,14,Baja,84.68
25,2.37,13,Alta,91.9
23,2.91,7,Alta,100.0
24,2.17,13,Alta,91.61
22,2.46,32,Alta,77.42
24,3.9,19,Alta,65.47
24,2.3,21,Alta,75.61
22,2.53,30,Alta,77.17
27,3.18,18,Alta,83.41
23,1.9,5,Media,79.67
29,3.51,15,Baja,80.06
24,3.46,11,Media,73.49
22,2.92,16,Media,77.33
20,4.85,14,Media,84.23
26,1.31,14,Baja,83.0
18,3.14,17,Baja,77.37
18,2.2,31,Alta,77.36
29,3.74,32,Baja,97.65
22,1.28,27,Alta,91.02
27,3.79,10,Baja,71.55
29,3.82,19,Alta,85.6
25,1.94,35,Media,95.35
28,3.39,6,Alta,88.04
28,2.15,37,Alta,94.55
25,3.16,10,Media,78.16
19,3.03,25,Baja,83.54
24,3.88,23,Media,100.0
29,4.59,33,Media,90.42
25,2.52,20,Baja,97.05
25,1.59,30,Alta,96.58
20,2.52,32,Alta,81.2
29,2.47,24,Baja,100.0
25,3.16,39,Alta,94.07
24,2.43,14,Baja,86.13
22,2.93,36,Media,78.87
26,2.15,21,Baja,91.44
21,2.45,31,Alta,90.16
22,2.16,20,Baja,83.59
22,3.33,16,Alta,100.0
28,2.27,14,Baja,80.22
28,2.84,15,Baja,81.55
21,2.64,7,Media,86.47
23,2.44,33,Media,77.72
23,3.07,28,Baja,77.14
22,2.87,10,Baja,100.0
20,2.7,37,Media,100.0
25,2.7,19,Media,77.1
18,2.49,11,Alta,72.46
19,2.32,39,Media,75.19
22,3.36,28,Baja,75.3
19,2.14,8,Baja,90.12
22,2.24,14,Alta,92.05
20,3.06,34,Baja,80.44
25,3.74,9,Media,84.48
27,3.96,11,Media,89.69
23,3.37,27,Alta,77.64
29,2.3,11,Alta,85.02
21,3.58,25,Baja,73.2
22,2.78,14,Media,97.6
24,2.92,10,Media,69.27
22,2.35,38,Media,74.41
27,2.44,27,Alta,72.67
29,2.15,7,Alta,99.17
21,2.49,35,Baja,76.4
25,3.72,8,Media,96.77
28,3.66,9,Media,64.44
21,1.91,20,Baja,79.13
24,3.85,37,Alta,96.25
18,3.51,34,Alta,90.7
22,3.34,5,Media,86.54
25,3.49,25,Baja,80.75
20,2.05,9,Media,66.86
20,3.41,27,Media,70.96
24,2.87,36,Alta,88.7
23,3.17,36,Media,70.36
23,3.79,22,Baja,85.54
18,3.74,24,Media,88.85
29,3.83,27,Media,81.87
29,1.56,24,Baja,87.74
23,3.35,37,Media,100.0
19,1.97,32,Media,92.11
27,3.5,12,Alta,90.04
23,3.85,25,Media,86.51
20,2.85,10,Alta,83.63
18,3.59,36,Media,88.72
28,2.81,35,Baja,92.17
26,3.36,39,Baja,71.69
21,2.65,35,Baja,56.47
19,3.23,7,Baja,100.0
26,1.84,13,Alta,89.46
28,3.07,34,Media,85.23
23,1.77,22,Baja,100.0
19,4.78,25,Baja,75.0
21,2.99,7,Alta,100.0
23,3.85,37,Baja,82.98
20,3.89,29,Alta,69.15
23,3.46,39,Media,59.92
28,2.13,17,Alta,84.05
19,2.79,5,Alta,81.43
21,3.31,18,Baja,78.85
28,2.72,16,Baja,93.54
24,2.69,18,Baja,84.7
27,1.55,14,Media,94.86
27,1.09,38,Baja,96.41
23,3.02,15,Media,78.04
19,2.31,18,Baja,80.19
21,2.47,9,Media,73.15
28,4.14,7,Media,83.45
28,4.15,37,Alta,90.47
18,3.31,19,Baja,100.0
19,3.04,9,Baja,100.0
28,3.16,30,Alta,90.17
19,2.36,33,Media,85.9
28,2.47,19,Baja,81.81
29,1.82,15,Baja,84.62
22,2.7,9,Alta,84.21
28,3.0,14,Baja,90.79
21,2.98,32,Alta,78.13
19,4.61,33,Media,88.98
21,3.57,20,Alta,84.23
28,3.87,31,Media,81.52
24,2.88,7,Media,73.89
26,3.11,21,Alta,80.68
28,3.46,14,Baja,77.05
24,3.07,24,Alta,78.7
22,2.85,7,Alta,74.87
26,4.67,30,Media,81.9
24,1.75,33,Baja,74.99
27,2.05,9,Baja,97.96
29,2.48,9,Alta,93.67
20,1.72,35,Alta,74.23
29,3.75,23,Media,74.2
20,3.61,6,Media,94.05
24,3.86,38,Media,94.63
18,2.17,6,Baja,90.65
21,3.51,39,Alta,83.09
22,1.62,8,Media,90.37
22,1.84,33,Media,91.35
18,3.11,21,Media,92.31
27,2.36,37,Media,100.0
22,2.72,6,Alta,94.77
25,2.95,9,Alta,78.03
22,2.74,8,Media,69.07
26,2.07,14,Baja,83.5
25,3.16,18,Media,83.74
26,2.94,29,Media,84.15
21,1.94,5,Baja,69.47
29,3.05,9,Baja,77.35
25,2.78,26,Baja,91.9
21,3.21,32,Alta,92.55
25,3.72,35,Media,77.62
19,2.22,14,Baja,99.65
28,3.07,33,Baja,92.98
22,3.56,37,Alta,71.22
18,3.84,14,Alta,87.02
20,2.88,30,Baja,90.17
23,4.0,35,Media,89.4
21,3.22,29,Media,73.07
25,2.81,20,Media,75.01
24,2.0,18,Baja,77.01
25,3.03,35,Baja,96.1
24,2.15,26,Alta,98.68
24,4.37,24,Alta,79.93
23,2.72,36,Media,97.87
23,3.42,39,Media,76.71
23,2.25,35,Alta,78.96
21,4.1,6,Alta,91.39
28,4.04,33,Baja,97.93
27,2.43,20,Baja,84.57
29,1.56,26,Media,100.0
26,2.14,28,Baja,88.59
24,4.79,34,Media,91.04
19,3.23,15,Baja,76.44
19,2.66,34,Media,80.98
28,3.78,31,Alta,100.0
28,1.81,37,Alta,83.11
18,3.14,19,Media,87.9
28,3.64,15,Alta,83.4
19,2.13,27,Baja,98.32
22,3.5,27,Media,80.17
22,3.75,15,Media,87.97
25,3.38,5,Baja,83.8
21,2.6,5,Alta,82.28
25,3.71,6,Alta,87.36
28,2.39,36,Media,82.11
25,2.45,31,Media,71.89
29,2.85,29,Media,81.44
19,3.05,9,Baja,90.76
28,2.91,37,Media,71.32
24,2.6,26,Media,81.22
20,4.4,6,Alta,79.53
23,2.51,24,Alta,84.66
18,2.88,8,Baja,99.26
25,3.15,19,Alta,84.4
26,5.0,24,Media,86.14
21,4.09,22,Media,83.49
27,3.05,22,Alta,70.25
29,3.22,34,Alta,77.59
25,2.63,33,Media,87.01
27,3.03,36,Media,100.0
22,1.8,31,Baja,100.0
27,2.43,5,Media,94.51
18,3.24,14,Media,86.86
28,1.61,12,Media,81.97
21,2.19,20,Media,83.36
25,3.99,33,Baja,93.62
28,4.22,34,Media,87.84
22,2.89,19,Baja,83.04
18,2.1,18,Media,71.95
22,2.08,10,Media,85.69
19,2.56,12,Media,67.91
24,3.1,32,Baja,71.57
29,3.48,25,Baja,89.11
28,2.05,23,Media,98.01
24,4.25,11,Alta,83.71
22,2.2,10,Media,81.78
20,2.92,30,Baja,84.07
23,2.99,11,Alta,67.92
19,3.69,27,Media,90.62
18,2.79,10,Alta,84.94
24,3.19,38,Baja,68.13
24,2.86,24,Media,99.31
19,2.65,18,Media,67.72
20,2.03,19,Alta,76.97
24,3.09,38,Media,100.0
22,1.72,5,Alta,92.31
27,2.96,33,Media,77.49
28,3.81,17,Baja,72.19
18,3.58,15,Baja,95.29
23,3.91,22,Media,93.58
24,2.31,35,Media,82.39
19,2.7,13,Media,72.26
21,3.06,13,Media,100.0
25,2.91,32,Alta,85.75
29,3.63,25,Baja,91.53
22,2.58,7,Baja,83.12
21,3.47,26,Media,88.69
19,3.27,9,Alta,72.98
26,3.82,7,Baja,100.0
23,2.16,33,Alta,93.68
27,4.0,25,Baja,79.87
19,3.5,24,Media,70.12
18,3.97,22,Media,93.07
20,2.17,19,Media,77.05
21,3.86,22,Media,76.19
28,4.07,38,Alta,84.45
27,3.47,31,Media,65.05
22,2.46,29,Media,100.0
22,2.76,8,Baja,87.82
22,3.85,18,Baja,79.33
18,2.09,31,Media,64.64
29,3.75,22,Alta,66.6
27,2.78,15,Media,88.48
23,4.25,25,Media,92.58
28,2.54,29,Alta,80.38
28,2.63,25,Media,95.31
26,2.38,33,Baja,97.76
22,2.65,20,Baja,83.64
22,3.64,7,Media,60.55
21,2.85,16,Media,95.91
18,3.92,8,Media,100.0
25,3.43,9,Baja,84.36
29,2.5,39,Alta,92.37
29,3.24,36,Baja,91.48
18,3.81,32,Alta,82.33
26,3.38,7,Media,80.6
28,2.55,7,Baja,86.89
18,3.76,28,Media,93.6
19,3.49,34,Media,92.12
21,2.32,13,Alta,82.74
29,4.14,21,Media,91.26
24,4.41,33,Baja,87.51
20,3.42,9,Media,77.21
22,2.01,9,Baja,76.66
18,3.86,17,Media,98.87
25,2.97,31,Media,60.08
20,3.0,35,Alta,84.63
26,2.74,16,Baja,90.21
23,3.86,38,Media,69.81
22,2.54,39,Alta,85.94
26,3.19,30,Baja,74.36
28,3.69,37,Alta,84.01
19,3.23,17,Baja,88.6
24,3.36,23,Alta,65.64
23,2.97,23,Alta,81.24
27,3.89,23,Media,99.66
23,2.69,15,Baja,76.89
25,2.59,17,Alta,79.5
29,3.98,10,Media,76.81
18,1.92,8,Alta,100.0
22,3.35,19,Alta,75.1
28,3.0,25,Media,100.0
18,3.46,5,Media,71.82
19,3.55,31,Media,81.93
27,3.9,11,Media,81.61
19,3.39,16,Media,98.28
28,3.45,21,Media,79.71
24,2.56,33,Media,96.73
20,3.02,19,Media,84.5
21,3.72,35,Media,93.51
27,3.7,35,Alta,100.0
28,2.41,25,Alta,78.89
22,3.41,29,Media,69.44
23,2.43,30,Media,90.02
26,4.25,10,Alta,91.13
27,2.7,7,Baja,81.39
19,1.88,6,Media,96.42
27,3.7,38,Media,90.01
27,4.47,16,Baja,100.0
22,1.55,33,Media,69.33
28,2.78,30,Media,97.32
26,2.45,22,Alta,84.68
27,1.23,17,Alta,78.65
29,2.27,8,Media,74.11
18,1.84,9,Media,89.86
18,3.95,34,Alta,78.35
23,3.57,23,Media,77.5
28,3.28,19,Media,72.52
23,3.64,18,Baja,84.71
19,2.29,16,Baja,76.6
20,3.92,14,Alta,96.94
28,3.81,7,Baja,79.3
23,3.66,16,Alta,83.08
19,3.18,20,Media,76.08
19,3.45,21,Media,84.52
21,3.29,7,Alta,88.54
29,2.22,21,Media,83.86
23,2.93,39,Alta,100.0
22,4.21,38,Media,78.9
22,3.27,12,Media,86.3
21,1.96,8,Media,74.55
29,2.18,32,Media,89.77
19,3.32,25,Media,80.36
28,3.2,19,Media,90.45
24,3.59,16,Alta,49.21
23,1.58,23,Baja,89.13
18,3.71,26,Baja,81.4
20,3.48,12,Alta,76.31
29,2.38,5,Media,87.3
27,3.26,5,Media,78.08
22,3.66,36,Alta,100.0
20,2.3,7,Baja,83.19
19,3.13,25,Media,98.81
24,2.92,23,Media,82.19
29,3.71,34,Baja,68.99
20,2.23,21,Media,98.95
28,2.98,32,Baja,79.0
19,2.57,34,Media,80.82
25,2.38,5,Alta,71.95
28,2.82,16,Baja,82.04
19,2.53,23,Media,61.67
18,2.63,34,Media,90.13
22,2.5,27,Baja,97.33
18,2.6,5,Alta,70.35
28,2.86,19,Media,77.94
19,3.63,12,Baja,84.67
18,3.99,18,Baja,90.33
21,4.11,17,Baja,86.18
28,2.28,10,Alta,81.4
24,4.58,6,Alta,79.87
27,5.0,14,Media,89.71
28,2.78,36,Baja,74.64
22,2.69,20,Alta,76.9
21,3.26,20,Media,73.98
23,3.6,18,Baja,83.11
27,4.14,19,Alta,82.01
18,3.12,26,Media,94.91
28,3.27,23,Media,75.85
27,4.07,25,Alta,70.65
25,3.26,20,Media,97.02
21,3.38,25,Alta,100.0
18,4.01,18,Media,81.86
23,1.99,30,Media,70.0
19,3.38,38,Media,76.54
21,2.56,30,Alta,90.86
28,2.35,36,Baja,98.96
23,1.78,18,Baja,87.34
26,3.55,13,Media,92.44
27,3.05,38,Alta,96.64
22,4.91,27,Media,98.64
29,3.42,19,Alta,67.14
24,2.26,20,Media,87.34
25,2.66,10,Media,82.13
25,3.47,28,Alta,86.85
24,3.35,17,Alta,78.88
29,3.1,15,Alta,93.89
27,4.15,37,Alta,69.74
19,3.46,21,Media,93.53
26,2.88,32,Media,64.12
24,2.3,14,Alta,75.18
23,5.0,24,Baja,95.94
19,2.57,33,Media,84.9
20,4.35,35,Baja,65.4
20,3.24,39,Media,83.98
26,3.13,29,Media,90.19
24,2.57,31,Media,90.54
23,2.7,25,Media,84.06
27,2.51,20,Media,82.54
29,2.76,38,Media,80.42
29,3.28,34,Alta,100.0
25,2.53,12,Media,92.95
20,3.41,8,Alta,92.62
18,3.33,13,Baja,75.93
28,3.63,12,Media,79.65
20,3.13,33,Media,78.73
18,3.6,10,Media,84.36
25,3.43,24,Media,84.34
18,3.42,16,Media,86.82
26,4.13,25,Media,73.93
21,3.19,23,Baja,95.69
23,2.87,28,Media,91.28
29,3.86,32,Alta,88.93
20,3.64,22,Media,81.26
21,2.87,22,Media,97.51
27,2.44,30,Baja,96.97
22,3.46,12,Media,86.25
25,2.54,27,Baja,83.57
18,3.23,8,Media,80.58
27,2.39,33,Alta,78.27
24,3.65,33,Media,77.41
19,3.39,28,Media,72.26
22,1.99,38,Media,83.42
24,3.14,7,Alta,91.17
27,2.09,16,Media,85.12
21,3.46,20,Media,81.68
20,3.65,5,Media,87.76
23,3.53,23,Media,86.26
19,3.7,32,Alta,83.01
20,3.85,14,Alta,86.31
28,2.67,19,Baja,92.5
21,2.58,25,Alta,65.31
20,1.42,13,Media,94.83
29,2.87,6,Alta,81.48
26,3.46,11,Alta,83.85
19,3.52,13,Baja,90.79
24,4.54,6,Media,95.11
27,2.71,35,Baja,94.21
24,2.19,6,Alta,95.02
20,3.0,38,Baja,97.96
22,1.7,22,Media,72.02
19,1.93,38,Alta,83.32
26,2.65,16,Baja,76.9
28,3.34,19,Media,100.0
21,2.29,17,Media,70.01
20,3.27,10,Alta,100.0
23,3.57,21,Alta,82.91
19,2.44,23,Media,95.01
18,4.31,13,Media,86.84
28,2.55,33,Media,79.61
18,4.35,28,Media,86.01
26,4.83,9,Media,88.22
27,5.0,29,Alta,90.61
19,2.64,33,Media,80.1
25,3.11,36,Alta,76.84
20,4.0,19,Alta,86.47
22,3.96,36,Baja,89.26
18,2.51,21,Baja,85.6
26,3.05,17,Media,82.87
27,3.18,5,Alta,98.43
20,1.85,17,Baja,91.13
27,3.19,36,Baja,76.7
19,3.07,15,Alta,66.75
19,4.04,36,Media,69.44
27,4.55,33,Baja,93.73
24,2.1,26,Alta,93.53
28,3.21,23,Alta,78.94
26,3.32,26,Baja,67.12
29,2.55,37,Alta,86.15
22,1.77,28,Alta,84.98
25,2.14,13,Media,78.21
22,3.46,29,Media,80.4
29,2.79,8,Baja,70.33
21,2.53,9,Media,69.69
21,2.39,21,Media,83.67
23,0.29,5,Media,74.43
24,1.97,37,Media,80.96
29,2.97,29,Alta,100.0
25,4.33,16,Media,100.0
23,3.64,27,Media,96.59
19,3.41,33,Media,90.75
18,2.7,27,Media,85.6
19,2.17,18,Baja,68.35
25,2.59,38,Media,66.22
26,3.25,32,Baja,82.96
18,2.96,37,Media,97.3
20,3.58,19,Media,76.22
22,4.63,23,Baja,100.0
21,2.57,33,Alta,91.2
24,2.76,36,Media,83.33
26,2.42,25,Media,98.0
29,1.9,16,Media,82.93
27,2.71,36,Media,62.34
27,3.7,18,Alta,75.48
19,2.06,13,Alta,85.33
23,1.88,36,Alta,79.01
26,2.45,20,Alta,91.39
21,3.74,25,Baja,100.0
18,1.25,28,Alta,80.42
18,3.1,25,Baja,84.24
21,2.78,8,Baja,93.63
24,3.15,25,Baja,97.28
24,3.37,30,Baja,78.16
18,2.7,16,Media,65.85
29,4.17,14,Baja,83.03
20,3.87,39,Baja,89.68
18,2.65,27,Alta,99.23
28,2.44,18,Media,73.43
18,1.71,36,Baja,99.52
22,3.68,7,Baja,80.85
20,2.28,6,Baja,88.83
28,3.77,16,Media,86.33
21,2.02,39,Media,86.64
18,2.16,10,Media,95.37
27,3.63,20,Media,79.77
20,3.36,7,Media,100.0
29,3.44,34,Baja,91.89
22,4.46,9,Media,77.99
24,1.97,37,Media,81.53
25,2.98,7,Media,77.67
29,2.78,20,Media,79.9
27,2.18,31,Alta,88.41
18,1.01,29,Baja,69.67
25,2.61,36,Baja,100.0
18,2.1,37,Media,91.71
23,3.29,12,Alta,73.64
24,2.95,6,Media,76.92
23,3.22,37,Baja,74.1
25,3.42,14,Media,93.3
23,4.22,11,Media,90.51
25,3.05,23,Baja,87.52
27,3.59,14,Alta,83.13
22,3.28,7,Media,75.03
23,3.67,36,Media,90.32
25,2.06,20,Alta,94.15
21,3.46,19,Alta,91.66
29,2.81,8,Media,88.98
21,3.33,29,Baja,94.59
20,2.8,6,Media,82.46
20,3.68,15,Media,74.49
24,2.86,39,Baja,89.64
25,2.5,25,Media,91.84
21,1.52,8,Baja,92.39
21,2.24,9,Media,72.66
29,3.73,33,Media,79.51
25,2.22,19,Baja,82.29
27,3.49,22,Baja,82.76
27,2.19,37,Media,80.87
29,4.69,24,Alta,100.0
26,3.8,17,Media,64.82
18,3.54,16,Media,95.15
26,3.26,11,Baja,100.0
21,2.6,29,Baja,92.13
24,2.23,35,Media,86.08
27,3.31,35,Baja,77.21
27,3.09,7,Baja,93.92
23,3.02,38,Baja,85.02
23,1.59,32,Media,77.89
29,3.45,38,Baja,55.01
26,3.39,10,Alta,87.12
27,3.73,28,Media,76.06
24,2.99,8,Media,85.87
21,2.89,25,Baja,75.6
27,3.42,32,Alta,95.52
27,3.75,17,Baja,90.03
25,2.81,10,Media,84.14
25,3.33,27,Baja,77.56
26,2.39,35,Alta,76.13
27,3.79,18,Media,63.76
27,4.36,20,Media,100.0
22,2.81,37,Media,81.14
23,1.81,8,Baja,78.58
18,2.29,20,Media,74.3
23,3.82,33,Media,88.03
20,2.55,8,Baja,73.58
23,3.63,18,Media,98.07
21,3.15,9,Baja,83.83
24,3.57,21,Alta,79.77
19,4.4,6,Media,90.67
26,1.71,6,Baja,79.24
18,3.62,21,Alta,78.41
18,3.92,5,Media,86.74
25,2.4,29,Media,80.86
27,2.4,35,Media,81.9
18,4.12,26,Alta,84.03
27,2.92,39,Alta,80.56
19,2.1,19,Media,89.18
19,2.06,31,Baja,92.31
19,3.21,13,Alta,92.87
19,3.06,18,Media,91.96
18,2.62,18,Alta,90.0
21,2.56,15,Alta,93.2
21,2.26,12,Baja,77.17
24,3.94,10,Alta,84.1
26,3.35,7,Alta,72.6
23,2.89,14,Baja,86.94
23,1.63,33,Alta,80.54
25,2.8,14,Alta,94.74
22,2.79,11,Alta,88.91
26,3.31,14,Baja,79.57
23,2.75,14,Media,82.14
20,3.29,10,Alta,66.89
18,1.9,18,Media,92.56
25,2.25,37,Media,92.27
21,2.84,11,Baja,77.02
21,3.15,20,Alta,85.29
21,3.78,21,Baja,100.0
21,2.53,8,Media,79.97
23,2.64,34,Alta,91.49
29,1.79,38,Baja,82.53
25,2.32,25,Baja,77.5
25,2.48,30,Alta,87.32
22,3.55,19,Media,61.03
27,3.01,32,Media,96.37
20,3.14,5,Media,95.14
18,3.22,37,Media,81.86
26,3.82,16,Media,86.76
25,3.04,23,Media,74.21
23,3.45,28,Media,76.44
18,3.11,38,Media,74.82
21,1.97,38,Alta,80.8
21,3.55,38,Alta,84.14
29,3.86,31,Media,92.0
24,1.92,10,Alta,74.9
29,3.81,35,Media,75.83
29,2.8,37,Baja,94.23
27,4.2,18,Alta,78.16
24,2.78,30,Media,90.37
27,2.81,12,Media,73.48
23,2.49,34,Alta,84.96
29,2.9,8,Baja,91.11
19,2.02,24,Media,93.71
29,2.85,15,Baja,95.0
23,2.93,7,Alta,100.0
29,3.08,18,Alta,96.52
26,4.18,9,Alta,84.88
24,4.17,18,Alta,83.03
27,2.32,29,Baja,73.76
22,2.6,27,Media,83.87
20,2.18,32,Baja,80.42
29,2.3,31,Baja,89.42
21,3.31,5,Alta,85.79
29,3.37,15,Alta,95.64
25,2.58,34,Media,84.47
24,2.94,11,Media,84.98
28,3.4,32,Alta,73.54
28,1.44,17,Baja,85.35
24,3.3,23,Media,73.79
18,2.61,32,Baja,69.03
29,2.5,34,Media,86.92
26,2.3,30,Baja,94.13
23,3.05,13,Baja,93.87
27,3.16,27,Alta,76.77
28,1.93,37,Alta,100.0
27,3.93,26,Baja,83.12
21,2.35,10,Baja,88.25
26,2.74,17,Alta,80.76
18,2.92,14,Baja,85.63
18,1.93,13,Media,96.47
24,2.81,7,Alta,82.14
18,2.06,39,Alta,57.95
27,2.23,28,Media,89.42
22,0.95,35,Baja,67.28
22,3.72,8,Alta,75.86
19,2.57,18,Baja,84.78
25,3.87,34,Media,91.23
21,3.14,34,Media,78.26
22,3.44,6,Media,100.0
27,3.48,34,Baja,88.58
20,4.06,36,Baja,78.7
18,1.59,19,Baja,72.23
23,4.22,6,Alta,76.04
29,2.28,11,Media,77.06
28,2.17,38,Alta,75.69
27,3.16,11,Baja,100.0
26,2.02,25,Alta,89.25
23,3.69,27,Media,94.23
26,1.6,31,Media,70.45
25,2.19,22,Alta,84.61
20,2.75,6,Baja,86.53
22,3.91,31,Alta,71.03
18,4.1,11,Media,75.25
24,2.87,25,Media,88.47
29,3.66,15,Alta,84.85
25,3.32,24,Media,69.65
23,3.61,17,Media,82.25
19,2.59,21,Alta,100.0
26,3.69,25,Media,90.37
25,3.62,14,Baja,76.58
22,2.65,39,Media,91.78
24,2.9,5,Baja,88.52
29,3.13,6,Alta,76.77
22,2.2,12,Baja,90.98
23,3.21,28,Alta,83.3
20,4.16,20,Baja,69.61
29,2.81,24,Baja,92.88
25,3.64,10,Alta,84.21
18,3.52,37,Media,94.43
18,3.95,32,Alta,86.99
18,3.27,38,Media,92.46
22,2.67,17,Alta,97.82
29,3.71,6,Baja,72.58
23,3.82,12,Baja,93.0
25,2.37,19,Baja,80.39
21,2.89,12,Baja,93.96
20,3.12,26,Media,88.33
18,2.67,10,Baja,87.81
27,3.55,8,Media,90.32
26,4.39,30,Media,86.76
27,3.35,24,Media,87.55
22,2.16,27,Media,85.67
23,3.98,21,Alta,93.41
20,2.82,13,Media,68.52
27,2.41,25,Baja,95.33
29,3.98,21,Media,89.56
22,4.76,21,Alta,80.47
25,3.63,21,Baja,79.47
29,3.34,28,Baja,84.53
26,3.06,30,Baja,61.43
20,3.27,19,Alta,85.81
22,2.2,16,Alta,92.42
22,3.67,9,Baja,94.81
20,2.64,9,Media,95.41
18,2.28,27,Media,91.39
28,2.76,23,Baja,90.49
24,2.27,14,Alta,84.26
21,1.48,39,Alta,63.25
20,3.21,24,Media,69.94
20,2.9,23,Media,91.69
28,3.11,19,Media,71.16
18,2.76,15,Media,82.92
26,2.24,5,Baja,92.47
21,4.17,11,Alta,91.71
25,3.83,5,Baja,70.23
26,2.17,14,Media,81.41
22,2.91,36,Media,94.53
27,3.45,23,Alta,71.76
28,3.73,31,Alta,96.69
23,1.96,23,Media,100.0
27,3.37,13,Baja,76.09
27,5.0,9,Baja,83.15
19,2.31,21,Media,92.0
18,1.99,23,Media,69.57
27,2.62,21,Alta,85.02
19,3.31,11,Baja,86.47
26,3.78,12,Baja,80.74
28,2.82,18,Alta,67.45
21,3.11,17,Media,100.0
22,2.81,12,Alta,80.8
25,4.19,32,Alta,63.81
28,2.59,13,Alta,87.74
23,2.64,26,Media,94.16
20,2.49,35,Media,100.0
25,1.66,27,Media,96.78
18,1.72,30,Media,76.54
29,3.34,21,Baja,93.45
28,2.72,37,Baja,88.2
28,4.58,27,Alta,86.57
24,2.51,18,Media,92.66
23,1.17,14,Baja,83.73
20,2.85,18,Media,77.25
29,2.14,14,Media,89.84
28,1.05,25,Media,87.05
23,2.74,13,Baja,72.41
24,1.98,23,Media,82.62
24,1.5,31,Baja,100.0
27,4.42,12,Alta,56.59
